eps_opt,time_limit,iter_limit,routed,disconnected,solve_time_s,iterations,obj,n_vars,n_cons,status
1e-3,5,500,0,3,0.412574,600,24.1175,4104,1980,PARTIAL
1e-3,5,2000,3,0,0.384687,1000,24.6182,4104,1980,OK
1e-3,5,10000,3,0,0.403589,1000,24.6182,4104,1980,OK
1e-3,15,500,0,3,0.360878,600,24.1175,4104,1980,PARTIAL
1e-3,15,2000,3,0,0.375766,1000,24.6182,4104,1980,OK
1e-3,15,10000,3,0,0.376177,1000,24.6182,4104,1980,OK
1e-3,60,500,0,3,0.345299,600,24.1175,4104,1980,PARTIAL
1e-3,60,2000,3,0,0.357805,1000,24.6182,4104,1980,OK
1e-3,60,10000,3,0,0.357368,1000,24.6182,4104,1980,OK
1e-4,5,500,0,3,0.350712,600,24.1175,4104,1980,PARTIAL
1e-4,5,2000,0,3,0.385893,2000,24.1519,4104,1980,PARTIAL
1e-4,5,10000,3,0,0.409441,2200,24.2058,4104,1980,OK
1e-4,15,500,0,3,0.372217,600,24.1175,4104,1980,PARTIAL
1e-4,15,2000,0,3,0.37887,2000,24.1519,4104,1980,PARTIAL
1e-4,15,10000,3,0,0.383418,2200,24.2058,4104,1980,OK
1e-4,60,500,0,3,0.372532,600,24.1175,4104,1980,PARTIAL
1e-4,60,2000,0,3,0.402198,2000,24.1519,4104,1980,PARTIAL
1e-4,60,10000,3,0,0.407735,2200,24.2058,4104,1980,OK
1e-6,5,500,0,3,0.371695,600,24.1175,4104,1980,PARTIAL
1e-6,5,2000,0,3,0.401997,2000,24.1519,4104,1980,PARTIAL
1e-6,5,10000,3,0,0.394956,2800,24.1039,4104,1980,OK
1e-6,15,500,0,3,0.370278,600,24.1175,4104,1980,PARTIAL
1e-6,15,2000,0,3,0.413717,2000,24.1519,4104,1980,PARTIAL
1e-6,15,10000,3,0,0.390174,2800,24.1039,4104,1980,OK
1e-6,60,500,0,3,0.367696,600,24.1175,4104,1980,PARTIAL
1e-6,60,2000,0,3,0.406352,2000,24.1519,4104,1980,PARTIAL
1e-6,60,10000,3,0,0.37224,2800,24.1039,4104,1980,OK
